COUNT_time,drivinstage,turn,omega,hsv.val,distance,gyro_deg
1880,100,3,0,19,255,0
1884,100,3,0,19,255,0
1888,100,3,0,19,255,0
1892,100,3,0,19,255,0
1896,100,3,0,19,255,0
1900,100,3,0,19,255,0
1904,100,3,0,19,255,0
1908,100,3,0,19,255,0
1912,100,3,0,19,255,0
1916,100,3,0,19,255,0
1920,100,3,0,19,255,0
1924,100,3,0,19,255,0
1928,100,3,0,19,255,0
1932,100,3,0,19,255,0
1936,100,3,0,19,255,0
1940,100,3,0,19,255,0
1944,100,3,0,19,255,0
1948,100,3,0,19,255,0
1952,100,9,0,18,255,0
1956,100,7,0,18,255,0
1960,100,7,0,18,255,0
1964,100,7,0,18,255,0
1968,100,7,0,18,255,0
1972,100,7,0,18,255,0
1976,100,7,0,18,255,0
1980,100,7,0,18,255,0
1984,100,7,0,18,255,0
1988,100,7,0,18,255,0
1992,100,7,0,18,255,0
1996,100,7,0,18,255,0
2000,100,7,0,18,255,0
2004,100,7,0,18,255,0
2008,100,7,0,18,255,0
2012,100,7,0,18,255,0
2016,100,7,0,18,255,0
2020,100,7,0,18,255,0
2024,100,7,0,18,255,0
2028,100,7,0,18,255,0
2032,100,7,0,18,255,0
2036,100,7,0,18,255,0
2040,100,7,0,18,255,0
2044,100,7,0,18,255,0
2048,100,7,0,18,255,0
2052,100,7,0,18,255,0
2056,100,7,0,18,255,0
2060,100,7,0,18,255,0
2064,100,2,0,19,255,0
2068,100,3,0,19,255,0
2072,100,3,1,19,255,0
2076,100,3,1,19,255,0
2080,100,3,1,19,255,0
2084,100,3,1,19,255,0
2088,100,3,1,19,255,0
2092,100,3,1,19,255,0
2096,100,3,1,19,255,0
2100,100,3,1,19,255,0
2104,100,3,1,19,255,0
2108,100,3,1,19,255,0
2112,100,3,1,19,255,0
2116,100,3,1,19,255,0
2120,100,3,1,19,255,0
2124,100,-1,1,20,255,0
2128,100,0,1,20,255,0
2132,100,0,1,20,255,0
2136,100,0,1,20,255,0
2140,100,0,1,20,255,0
2144,100,-5,1,21,255,0
2148,100,-3,1,21,255,0
2152,100,-3,1,21,255,0
2156,100,-3,1,21,255,0
2160,100,-3,1,21,255,0
2164,100,-3,1,21,255,0
2168,100,-3,1,21,255,0
2172,100,-3,1,21,255,0
2176,100,-3,1,21,255,0
2180,100,-3,1,21,255,0
2184,100,-3,1,21,255,0
2188,100,-3,1,21,255,0
2192,100,-3,1,21,255,0
2196,100,-3,1,21,255,0
2200,100,-3,1,21,255,0
2204,100,-3,1,21,255,0
2208,100,-3,1,21,255,0
2212,100,-9,1,22,255,0
2216,100,-7,1,22,255,0
2220,100,-7,1,22,255,0
2224,100,-7,1,22,255,0
2228,100,-7,1,22,255,0
2232,100,-7,1,22,255,0
2236,100,-7,1,22,255,0
2240,100,-7,1,22,255,0
2244,100,-7,1,22,255,0
2248,100,-7,1,22,255,0
2252,100,-7,1,22,255,0
2256,100,-7,1,22,255,0
2260,100,-7,1,22,255,0
2264,100,-7,1,22,255,0
2268,100,-7,1,22,255,0
2272,100,-7,1,22,255,0
2276,100,-7,1,22,255,0
2280,100,-7,1,22,255,0
2284,100,-2,1,21,255,0
2288,100,-3,1,21,255,0
2292,100,-3,0,21,255,0
2296,100,-3,0,21,255,0
2300,100,-3,0,21,255,0
2304,100,-3,0,21,255,0
2308,100,-3,0,21,255,0
2312,100,-3,0,21,255,0
2316,100,-3,0,21,255,0
2320,100,-3,0,21,255,0
2324,100,-3,0,21,255,0
